glcm_contrast,glcm_correlation,glcm_homogeneity,texture_entropy,lbp_histogram_mean,gabor_mean_response,dwt_texture_energy,class_label
1157.8235728346456,0.5928747640114781,0.04637165096502123,7.260641,0.09999999999389649,37.91680908203125,7353416.500000003,Castor
1015.4512180118112,0.7207437103436326,0.05625868849141715,7.4108267,0.09999999999389647,35.495361328125,6269274.000000002,Castor
997.2591043307087,0.7332615524463342,0.05412087292611549,7.335346,0.0999999999938965,38.3463134765625,6222800.250000002,Castor
553.7673474409451,0.8871689424555076,0.07921632870821331,7.4159145,0.0999999999938965,30.767333984375,3371196.250000001,Castor
954.9320250984254,0.6130439118827871,0.05299476534407524,7.129425,0.09999999999389647,45.6490478515625,5131861.500000002,Castor
333.2114911417323,0.7985518877548395,0.09170947161364204,6.814971,0.09999999999389649,15.11871337890625,1911976.0000000007,Castor
387.4561392716535,0.7131848122463087,0.08548102110412899,6.6961527,0.09999999999389649,16.42938232421875,2156896.250000001,Castor
117.58919783464567,0.8234006656849523,0.15480180043003647,6.210248,0.09999999999389649,7.96826171875,1120183.2500000005,Castor
643.7034940944883,0.5745481359352674,0.06375942741760782,6.7932186,0.09999999999389649,25.97418212890625,3495928.000000001,Castor
211.82892470472441,0.9486961797567618,0.16219210680958462,7.033761,0.09999999999389649,12.814697265625,1089715.2500000005,Castor
447.70866141732284,0.7128474016938097,0.08613478764801244,6.8141203,0.09999999999389649,13.90081787109375,3737894.250000001,Castor
685.0479207677167,0.7340985834331418,0.062112783464381344,7.1869087,0.09999999999389647,23.27252197265625,5638415.750000002,Castor
385.2320989173228,0.9473325353820076,0.40836317044029996,7.3343196,0.09999999999389649,18.1209716796875,1562136.0000000005,Castor
463.6494217519685,0.9495397865325969,0.3970463063645224,6.8255568,0.09999999999389649,20.84228515625,1906434.0000000005,Castor
470.8269562007874,0.9328073183195916,0.39012814617021296,6.7406855,0.09999999999389649,21.6475830078125,2237907.7500000005,Castor
532.8829355314962,0.9331879944014166,0.2690515203878128,6.8145723,0.0999999999938965,21.39837646484375,2596909.5000000005,Castor
311.27196112204734,0.9025737241634038,0.12030363041778275,6.617607,0.09999999999389649,15.02392578125,1603688.5000000005,Castor
165.73677411417322,0.9166737251647512,0.14115198064762793,6.7321744,0.0999999999938965,10.60479736328125,996910.7500000003,Castor
223.8296013779528,0.8954213118234139,0.1371566719723682,6.816494,0.09999999999389649,11.767333984375,1309675.5000000005,Castor
146.4958784448819,0.7456229561209403,0.14579885246138924,5.9811897,0.09999999999389647,9.49737548828125,852160.0000000002,Castor
396.39148622047253,0.8673675620512697,0.10399194783423327,7.2122273,0.09999999999389649,17.12225341796875,2207313.7500000005,Castor
597.6106668307089,0.8103028149602982,0.07917377901562966,7.0132523,0.09999999999389649,23.452880859375,2995908.000000001,Castor
706.3955462598426,0.6119648056590782,0.07019624460581213,6.8518143,0.09999999999389649,22.64697265625,3614566.250000001,Castor
684.771099901575,0.8957028087234579,0.08592810963897954,7.1679907,0.09999999999389649,23.37939453125,2945181.2500000005,Castor
