canny_edge_count,edge_pixel_ratio,sobel_gradient_mean,sobel_gradient_std,laplacian_variance,class_label
5281,0.32232666015625,125.61910298714017,81.95949851800864,10352.29044161737,Castor
4864,0.296875,120.2603872110498,92.10696925016006,8140.45412991941,Castor
5007,0.30560302734375,116.5568221424065,84.66452430005167,8772.03740575537,Castor
3094,0.1888427734375,87.34161204062454,76.9242152770425,4048.402874853462,Castor
4476,0.273193359375,111.29920011233105,78.16131120320159,6216.338416066021,Castor
1467,0.08953857421875,59.01138269138278,45.06489433175694,2770.580149397254,Castor
1567,0.09564208984375,60.23663578613705,45.93893204813278,3084.4772399514914,Castor
1093,0.06671142578125,54.51964968443332,43.27077671619274,1145.8571819663048,Castor
3480,0.21240234375,87.961322182957,64.57239732358633,4488.907233234495,Castor
1065,0.06500244140625,48.32570892781491,71.60051956198352,937.671783387661,Castor
3713,0.22662353515625,90.76461672024499,66.14321749633629,4834.964775979519,Castor
4748,0.289794921875,112.71866531941144,79.17110977117584,7226.578485116363,Castor
1026,0.0626220703125,50.89778879725928,102.29206499232156,1278.2930576764047,Castor
881,0.05377197265625,56.72140070531552,114.34953540329278,1627.7696380615234,Castor
843,0.05145263671875,57.33398167791633,111.07163971711475,1667.1791343651712,Castor
1026,0.0626220703125,68.22190290188925,119.35253742602681,2221.3683576844633,Castor
842,0.0513916015625,57.23706757016319,70.48643161120495,1910.7400169372559,Castor
505,0.03082275390625,42.518873195657854,43.018169447807956,1287.9976117610931,Castor
820,0.050048828125,49.93587472198599,52.707203349169895,1616.46650069952,Castor
451,0.02752685546875,38.39298921393627,33.611321499303045,1253.0980514250696,Castor
1864,0.11376953125,69.86595621611634,69.44324481815997,2715.219516143203,Castor
2083,0.12713623046875,88.63102710824367,99.82545872920188,2495.6831065677106,Castor
2617,0.15972900390625,89.54630191554766,89.5682847637221,3542.3584947250783,Castor
2074,0.1265869140625,85.2693500260465,104.93553292920166,2786.012390371412,Castor
1872,0.1142578125,87.27361434596654,104.33215498210633,2994.103610739112,Castor
2157,0.13165283203125,71.26074832755101,60.07666091148873,2222.030271291733,Castor
1845,0.11260986328125,63.56527848672277,64.90080452908552,2056.8721595667303,Castor
2281,0.13922119140625,70.12149231716256,58.31152130893645,2844.2353734374046,Castor
2464,0.150390625,72.72101081184452,56.838757310459755,2444.303379174322,Castor
1002,0.0611572265625,49.18834352014226,46.96232128561728,1429.5390196405351,Castor
842,0.0513916015625,48.04763326400304,46.25201918347113,1246.2792605757713,Castor
768,0.046875,43.860621225722035,44.185123393813825,893.0944863222539,Castor
1479,0.09027099609375,55.7085490880922,54.27236802965665,1580.0228719115257,Castor
1402,0.0855712890625,57.91942874215347,67.27848711061765,1363.9965414851904,Castor
1164,0.071044921875,53.98159717731676,60.99398810646194,1048.5173649191856,Castor
684,0.041748046875,58.74233284944549,65.23103809847699,2353.392500516027,Castor
470,0.0286865234375,49.24530812541232,56.083924485016304,1774.2707206271589,Castor
603,0.03680419921875,35.592052365384255,51.79447343435031,661.5853120349348,Castor
472,0.02880859375,36.1528509055715,33.49666653938987,1087.4247683882713,Castor
