mean_red,mean_green,mean_blue,std_red,std_green,std_blue,mean_hue,mean_saturation,mean_value,class_label
92.36492919921875,114.298828125,92.00909423828125,32.33966147195984,48.03008150206971,36.51417048624734,29.7464599609375,62.7376708984375,117.98681640625,Castor
94.86029052734375,111.4296875,92.73004150390625,31.661225166079035,53.657084365782666,38.57670025528581,27.90399169921875,58.48974609375,115.85174560546875,Castor
84.89642333984375,97.46282958984375,84.2008056640625,30.84651752560574,53.78140852134961,39.60238115443193,24.97076416015625,53.89080810546875,101.8922119140625,Castor
105.0726318359375,106.76190185546875,77.72552490234375,58.609949619010685,52.922770061778245,39.98927368197843,53.2935791015625,98.7615966796875,124.03497314453125,Castor
93.50140380859375,103.26873779296875,87.172119140625,28.69159740588168,41.84138236881982,30.839832245508696,49.358154296875,47.0892333984375,107.04034423828125,Castor
95.9820556640625,110.11749267578125,102.876953125,22.143368749205884,37.53250611530432,34.95072558390673,34.5435791015625,55.47186279296875,115.934326171875,Castor
107.7012939453125,127.2601318359375,114.8077392578125,40.89042060616573,30.18918550195884,26.71265507358733,35.68365478515625,59.8377685546875,132.01220703125,Castor
115.1817626953125,123.33367919921875,108.801025390625,24.954693701049862,21.627481872766708,20.57148796544957,32.9537353515625,53.41424560546875,130.287109375,Castor
114.39263916015625,122.62530517578125,106.35858154296875,42.388146375399046,25.153746901470463,30.269005051960924,29.01153564453125,64.4732666015625,132.05987548828125,Castor
135.49853515625,139.8916015625,126.35882568359375,54.5046149386641,40.59411196881341,57.468860169210984,61.44091796875,66.12481689453125,150.75048828125,Castor
114.36614990234375,122.6119384765625,106.331787109375,42.739448158322304,25.5872181273427,30.653508738448117,29.5030517578125,64.5977783203125,132.0491943359375,Castor
102.3653564453125,111.24908447265625,94.28045654296875,33.45018467081488,40.31404769790256,29.980908539307972,53.892333984375,49.3936767578125,114.2442626953125,Castor
128.6744384765625,124.76251220703125,111.543701171875,57.13261617485689,61.22827606968989,73.58318939204806,51.98284912109375,74.57733154296875,135.25091552734375,Castor
116.307373046875,126.9625244140625,113.70086669921875,66.90611319414359,67.23011320790444,84.50211884958355,67.15789794921875,91.707763671875,135.91064453125,Castor
