area,perimeter,aspect_ratio,contour_points_count,circularity,class_label
7872.0,1958.7089223861694,1.0,1214,0.025784288162340158,Castor
5944.0,1638.4347565174103,0.8671875,998,0.027824691660574614,Castor
3325.0,950.1706954240799,0.5630252100840336,570,0.046280522088551115,Castor
11027.0,584.877197265625,0.78125,186,0.4050772556986979,Castor
4108.5,1488.4276168346405,0.7222222222222222,887,0.023304388752160756,Castor
7798.5,1341.2905333042145,0.71875,745,0.05447223838081846,Castor
5901.0,1183.6021543741226,0.578125,539,0.05293269239074682,Castor
6712.5,1389.3250238895416,1.28,689,0.043700504079954884,Castor
11882.5,1813.7657098770142,1.0,1000,0.045389491024798376,Castor
13259.0,936.3818113803864,1.0,352,0.1900267305138592,Castor
10395.5,2232.098751306534,1.0,1236,0.0262197434364714,Castor
5900.5,1687.2804282903671,1.391304347826087,982,0.02604498675340801,Castor
12328.0,497.053822517395,0.8515625,71,0.6270405884312256,Castor
12467.0,450.8284270763397,0.78125,8,0.7708133681389647,Castor
10557.5,426.72792184352875,0.703125,22,0.7285658867716621,Castor
9166.0,408.16652059555054,0.765625,138,0.6913770485472029,Castor
16106.5,528.1837655305862,1.0,50,0.7255058925121672,Castor
9821.5,953.5361387729645,0.78125,417,0.13574172701067294,Castor
7053.5,985.3940035104752,0.9140625,415,0.09128400886832963,Castor
13560.5,851.5361388921738,1.0,426,0.23500624273567344,Castor
16107.5,520.5269113779068,1.0,42,0.7470533694714885,Castor
840.5,264.87005722522736,0.13934426229508196,38,0.15055037827371776,Castor
3729.0,537.3624787330627,0.265625,203,0.1622809607491806,Castor
2159.0,288.0,0.140625,4,0.3270977304735901,Castor
2137.0,398.1909056901932,0.5922330097087378,188,0.16936813774049891,Castor
11413.5,1289.844794869423,1.0,559,0.08620923600078743,Castor
13422.5,969.5706293582916,1.0,322,0.17942558640246833,Castor
9051.0,1186.7981127500534,0.7890625,631,0.08075189726340407,Castor
9291.5,1138.638731956482,0.8984375,661,0.09005830937019989,Castor
11584.5,1235.9036699533463,0.9765625,510,0.09530548904446429,Castor
15206.0,705.1025930643082,1.0,238,0.3843441069375711,Castor
15610.5,632.977702498436,1.0,167,0.4896095207042181,Castor
9682.0,1080.205186009407,0.8359375,489,0.10427073295937027,Castor
8176.5,685.3107435703278,0.859375,379,0.2187772830181836,Castor
4314.0,965.1757477521896,1.375,508,0.058193865147288075,Castor
15945.0,539.7401143312454,1.0,52,0.6878044703634786,Castor
16002.5,522.0416301488876,1.0,33,0.7378828654317126,Castor
11984.0,600.9949476718903,1.0,125,0.4169366016302654,Castor
10542.5,1714.2509912252426,1.0,969,0.045082153686162266,Castor
7926.5,1348.947388768196,0.8671875,771,0.05473956027925381,Castor
6951.5,1074.413336634636,0.734375,591,0.07567381169912855,Castor
8826.0,1070.2295709848404,0.7734375,551,0.09683222117274033,Castor
1916.0,378.53405141830444,0.3412698412698413,207,0.16803334109071047,Castor
7633.0,1040.6904666423798,1.0,464,0.08856496881540019,Castor
8479.0,1462.9646326303482,1.0,699,0.049783662646676836,Castor
8345.5,961.4772635698318,0.6875,462,0.11344469398953687,Castor
11999.0,922.6761862039566,1.0,191,0.17711538751658296,Castor
16047.5,533.2132030725479,1.0,31,0.7092763175991783,Castor
15901.5,584.3259009122849,1.0,65,0.5852449607815743,Castor
2464.0,1895.998245716095,0.7168141592920354,1141,0.00861340176860502,Castor
1857.0,1248.5037376880646,0.8316831683168316,762,0.014970698845193175,Castor
3469.0,1397.4986845254898,0.7734375,849,0.022320881835121452,Castor
3424.5,1456.854022860527,0.7401574803149606,915,0.020275658110033595,Castor
5469.5,779.026472568512,0.84375,333,0.11325387197557603,Castor
9823.5,885.2030980587006,0.8984375,265,0.15753979031127646,Castor
8767.5,839.4873690605164,0.78125,284,0.15633539178098582,Castor
8978.0,869.4457385540009,0.859375,251,0.14924661803527398,Castor
9790.0,660.3919159173965,0.7578125,193,0.28209088885542294,Castor
1792.5,366.4924215078354,0.7916666666666666,167,0.16770230478374895,Castor
2682.5,412.5756813287735,0.46153846153846156,169,0.1980351782391617,Castor
2160.5,345.4629839658737,0.7051282051282052,182,0.22748936306703296,Castor
13751.0,1018.2295709848404,1.0,542,0.16666819617392054,Castor
6212.0,1068.8569868803024,0.943089430894309,542,0.06832853512839605,Castor
1119.0,326.7350618839264,1.4634146341463414,162,0.1317190132055389,Castor
13929.0,885.6711345911026,0.9609375,332,0.22314379830185918,Castor
13932.0,738.1320304870605,0.9453125,256,0.3213329246292268,Castor
9822.0,1596.4793519973755,0.9453125,787,0.048426511159678005,Castor
14030.5,628.3502861261368,0.953125,167,0.44655954616102833,Castor
12322.5,1462.6976076364517,0.953125,687,0.07237683516487521,Castor
13266.5,1204.2813061475754,0.9375,434,0.11495035994778087,Castor
11583.5,1527.952440738678,0.9140625,759,0.062349072014060314,Castor
15696.0,526.6274166107178,1.0,35,0.7112002882144002,Castor
10068.5,965.5361399650574,1.0666666666666667,401,0.13571803727562953,Castor
14436.5,645.7472544908524,0.9921875,186,0.4350574825417935,Castor
2440.5,975.5016490221024,0.421875,544,0.03222794844698988,Castor
2664.0,647.6122587919235,0.5089285714285714,338,0.07982041152066154,Castor
12730.0,902.9848425388336,1.0,339,0.1961902167627002,Castor
9923.5,734.1147856712341,0.890625,310,0.2313911772453121,Castor
716.5,337.63960921764374,0.1015625,88,0.07898039126145545,Castor
3523.0,1400.8224979639053,0.5703125,771,0.022560893266992278,Castor
1192.5,229.09545266628265,0.4153846153846154,103,0.2855191972265165,Castor
14856.0,787.9898949861526,0.984375,240,0.30065640366977425,Castor
11523.5,1498.8153574466705,1.0,586,0.06446114291111366,Castor
13406.5,795.2030979394913,0.9765625,243,0.2664214268735298,Castor
15698.0,608.3086558580399,1.0,117,0.5330969481091935,Castor
10123.0,1005.8620404005051,0.9296875,499,0.1257309691295164,Castor
10574.0,803.6467493772507,0.8046875,246,0.20574002359382323,Castor
8925.0,1762.621486902237,0.9765625,761,0.03609939876531242,Castor
16078.5,528.1837655305862,1.0,50,0.724244652330232,Castor
15130.0,736.534051656723,0.96875,228,0.35047991262640266,Castor
1400.5,305.01219260692596,0.1015625,42,0.18917274976415466,Castor
1995.5,605.712763428688,0.45689655172413796,318,0.06834836750366174,Castor
2580.0,711.4112483263016,0.4365079365079365,350,0.0640601741048441,Castor
3998.0,664.2741652727127,0.390625,241,0.11385652617993736,Castor
3007.0,700.6761872768402,0.3203125,222,0.07696771188364412,Castor
8461.0,436.56854152679443,0.546875,76,0.5578618764227249,Castor
3421.0,713.9898952245712,0.375,235,0.08432936057497921,Castor
11119.5,1090.021420121193,1.0,420,0.11760480290758463,Castor
10427.0,1144.322936296463,1.0,429,0.10006265728143078,Castor
13479.5,888.68332695961,1.0,355,0.2144813737469683,Castor
4665.5,1077.2661484479904,0.6528925619834711,621,0.05051984760677754,Castor
10004.5,1803.8245848417282,1.0,981,0.03863817890656415,Castor
6556.5,2032.8683029413223,0.7560975609756098,1180,0.01993716674044428,Castor
11425.5,930.4823154211044,1.0,253,0.16583218836009533,Castor
11715.0,1142.4650713205338,1.103448275862069,453,0.11278888270058819,Castor
14014.0,1298.1808013916016,0.9765625,377,0.10449646835372418,Castor
15252.5,645.7472546100616,1.0,227,0.45964840854907424,Castor
11581.5,1139.9869295358658,1.0,523,0.1119888878067402,Castor
14121.5,837.1097326278687,1.0,353,0.2532362722272249,Castor
9864.5,764.7178169488907,1.2222222222222223,207,0.2119739650571435,Castor
9200.0,1221.484404206276,0.9921875,593,0.07748574959317207,Castor
11442.5,1468.3300759792328,1.0,541,0.06669348259206186,Castor
10314.0,1616.5382272005081,1.0,705,0.04959809920578806,Castor
9143.0,941.5777690410614,1.2450980392156863,435,0.1295943869384461,Castor
13414.0,947.5777689218521,0.9609375,424,0.18773205735608345,Castor
10829.5,1377.9768252372742,1.0,748,0.07166951116341141,Castor
13852.5,1136.496597290039,1.0,664,0.1347726423786255,Castor
6914.5,1114.8397415876389,1.3617021276595744,621,0.06991103972600111,Castor
6872.0,1337.3910385370255,1.3061224489795917,714,0.048280993395927826,Castor
7081.0,1014.0285613536835,1.471264367816092,580,0.08653744790956655,Castor
15352.5,771.6639941930771,1.0,181,0.32399066477679717,Castor
12659.5,797.2274837493896,1.0,321,0.25030060116412367,Castor
3478.5,1364.3544605970383,0.9921875,638,0.02348266818686746,Castor
15667.0,654.0731555223465,1.0,253,0.46019623058486125,Castor
16037.0,566.9360724687576,1.0,152,0.6269960599581794,Castor
9529.5,3259.028893828392,1.0,1988,0.01127466266411138,Castor
14334.0,567.8477597236633,0.96875,199,0.5586160771388415,Castor
12638.5,510.20815074443817,0.8359375,135,0.610113468247965,Castor
12517.0,517.7644996643066,0.8203125,155,0.5867398378651218,Castor
8377.5,1055.7270452976227,0.921875,565,0.09445414168268125,Catharanthus
8403.0,1026.513841509819,0.9140625,576,0.10021081818944093,Catharanthus
12280.0,694.475176692009,1.0,201,0.31995932871467214,Catharanthus
12298.0,679.5046136379242,1.0,206,0.33470294457068556,Catharanthus
10078.0,847.3523740768433,0.8984375,363,0.17638275301838216,Catharanthus
6718.0,1707.3565487861633,1.0,894,0.02896019048857625,Catharanthus
5941.5,1042.5899614095688,1.292929292929293,517,0.06868768626576938,Catharanthus
11915.5,987.3940037488937,1.0,425,0.15358229888492875,Catharanthus
12170.5,1115.4183886051178,1.0,504,0.12292569853187978,Catharanthus
8258.0,1953.145433664322,1.0,1139,0.027202923321582962,Catharanthus
6162.0,975.2590069770813,1.2075471698113207,539,0.08141259878867765,Catharanthus
6796.5,673.7127641439438,1.0,319,0.18816794160677344,Catharanthus
6695.5,649.428493976593,1.0,311,0.19949416578088008,Catharanthus
15915.0,620.1665205955505,1.0,93,0.5199958436179156,Catharanthus
16104.5,529.2132030725479,1.0,25,0.7225963582278744,Catharanthus
12329.0,1401.567664027214,1.0,633,0.07886958909560857,Catharanthus
6985.5,1242.9818778038025,0.9375,655,0.05681693047390998,Catharanthus
14175.0,911.151363492012,1.0,380,0.214561537595814,Catharanthus
13625.0,1042.6904668807983,1.0,462,0.15748368528764448,Catharanthus
7197.0,1535.1555383205414,0.96875,903,0.03837572552398239,Catharanthus
16073.5,540.0416301488876,1.0,32,0.6925734512306679,Catharanthus
16100.5,528.0416300296783,1.0,28,0.725626109617536,Catharanthus
13602.0,934.2640610933304,1.0,450,0.19582735081071273,Catharanthus
11641.0,1089.5777695178986,1.0,450,0.1232207039687987,Catharanthus
11781.5,1110.1046794652939,1.0,454,0.12013860502951204,Catharanthus
14035.5,803.168608546257,1.0,355,0.27341623625051586,Catharanthus
11767.0,1495.273288846016,0.9296875,826,0.06613547345507384,Catharanthus
7958.0,981.6610289812088,0.8515625,482,0.10377451165090423,Catharanthus
6673.0,508.93607246875763,0.46875,149,0.32374608175625325,Catharanthus
6205.0,408.02438509464264,2.327272727272727,86,0.46835958437547204,Catharanthus
7546.5,486.55129611492157,1.3061224489795917,113,0.40058821893320695,Catharanthus
6828.5,401.78174471855164,0.4609375,93,0.5315630407512701,Catharanthus
5811.5,523.3208482265472,0.4375,180,0.2666625531090454,Catharanthus
6149.5,580.4335460662842,0.484375,202,0.2293742496643353,Catharanthus
6360.0,529.078207731247,0.4453125,174,0.2855138841809128,Catharanthus
6100.0,507.07820761203766,0.4296875,167,0.29811910308325273,Catharanthus
5134.0,380.71067690849304,0.359375,89,0.44511846955865836,Catharanthus
8095.5,820.3990559577942,0.65625,327,0.15114828966836957,Catharanthus
8862.5,710.0315252542496,0.6875,245,0.22090769733570825,Catharanthus
9561.0,501.1370824575424,0.7890625,112,0.4784098377868328,Catharanthus
2969.5,434.83556723594666,3.878787878787879,161,0.1973527007047269,Catharanthus
2520.0,383.62236404418945,4.413793103448276,139,0.2151803304769965,Catharanthus
3724.5,438.14927554130554,2.6122448979591835,153,0.24379996938303017,Catharanthus
7875.5,1326.378846526146,0.7265625,746,0.056253924484033095,Catharanthus
2598.0,229.137082695961,1.7916666666666667,103,0.6218107869925434,Catharanthus
2574.0,1184.8813730478287,1.24,666,0.023039267234330446,Catharanthus
2611.0,386.93607246875763,0.3359375,135,0.21914839667258437,Catharanthus
4104.5,479.5462440252304,0.3359375,228,0.22428960001252868,Catharanthus
6973.5,667.7127642631531,0.8359375,315,0.1965537401840845,Catharanthus
5458.5,429.1787129640579,0.3828125,134,0.37239756497083354,Catharanthus
6653.5,542.4335460662842,0.7265625,201,0.28416261791259007,Catharanthus
3759.0,592.5584363937378,0.4715447154471545,277,0.13453020947365724,Catharanthus
3939.5,707.4528788328171,0.48333333333333334,375,0.09891358268395338,Catharanthus
4379.0,905.376758813858,0.71900826446281,485,0.06713146509490232,Catharanthus
2969.0,548.9015827178955,0.5789473684210527,285,0.12383148912826106,Catharanthus
3447.5,401.52185893058777,0.421875,144,0.26871737735288254,Catharanthus
2995.0,413.7644991874695,0.4296875,147,0.21983672190350764,Catharanthus
3339.5,444.83556723594666,0.4921875,156,0.21207638068106277,Catharanthus
4209.5,804.2224309444427,0.8260869565217391,434,0.08178770347875146,Catharanthus
3189.0,383.9655097723007,0.359375,130,0.2718190893852917,Catharanthus
3099.5,734.2224307060242,1.1222222222222222,409,0.07225139028168434,Catharanthus
5455.5,1028.5899620056152,0.8203125,492,0.0647977402613696,Catharanthus
6350.5,875.2518684864044,0.7734375,390,0.10417216526140018,Catharanthus
3893.5,492.3502856492996,0.515625,153,0.20183740534285305,Catharanthus
6143.0,1211.2833933830261,0.84375,577,0.05261370108636423,Catharanthus
962.5,214.208150267601,1.7647058823529411,110,0.2635958813616125,Catharanthus
767.0,117.39696848392487,1.6666666666666667,58,0.6993449823204484,Catharanthus
1242.0,143.88224971294403,1.71875,63,0.7539056887576081,Catharanthus
1044.0,130.22539520263672,1.7586206896551724,49,0.7736045127824811,Catharanthus
811.5,116.32590043544769,1.7307692307692308,51,0.7536080732604604,Catharanthus
2071.5,192.06601452827454,1.488888888888889,88,0.7056571598477963,Catharanthus
1984.0,180.99494695663452,1.4772727272727273,86,0.7610595345334195,Catharanthus
1707.5,166.40916180610657,1.5365853658536586,73,0.7748472752899622,Catharanthus
1332.0,280.2497806549072,1.911764705882353,136,0.21311966564670262,Catharanthus
1094.5,300.97770273685455,1.911764705882353,152,0.15182978737477626,Catharanthus
1720.5,172.6101711988449,1.8888888888888888,67,0.7256576439119463,Catharanthus
1192.0,339.5046138763428,1.8857142857142857,178,0.1299555279639586,Catharanthus
617.0,207.13708317279816,1.962962962962963,89,0.18070880554365623,Catharanthus
990.5,438.65894174575806,1.85,217,0.06468601107327064,Catharanthus
1667.5,169.4385986328125,1.8611111111111112,72,0.729879229390481,Catharanthus
2013.0,228.1076456308365,1.8048780487804879,97,0.48615410231805756,Catharanthus
1629.0,170.8528128862381,1.8888888888888888,62,0.7012722950038299,Catharanthus
1501.0,240.59292650222778,1.8611111111111112,113,0.32585534313901116,Catharanthus
15386.5,525.1543278694153,1.0,59,0.7010932847720249,Catharanthus
14330.5,484.72792184352875,0.921875,21,0.7664346543801306,Catharanthus
15373.5,517.4974737167358,1.0,59,0.7213834062451191,Catharanthus
4728.0,1014.3128318786621,0.9787234042553191,621,0.05774887025311456,Catharanthus
2261.5,971.7270441055298,0.8875,573,0.03009663051499642,Catharanthus
1256.0,266.2497806549072,1.3541666666666667,148,0.2226491216091731,Catharanthus
9959.0,944.690466761589,1.0158730158730158,478,0.14023180719341607,Catharanthus
8581.5,849.8792848587036,1.1228070175438596,364,0.14929957906593525,Catharanthus
7708.5,1077.0163670778275,1.0,511,0.0835093559712054,Catharanthus
10264.0,1109.5432792901993,0.921875,550,0.1047702579244627,Catharanthus
11014.0,799.8965300321579,0.84375,351,0.2163153360250815,Catharanthus
7430.5,959.2173781394958,0.6640625,506,0.10148312356875609,Catharanthus
10127.0,1610.694641828537,0.9609375,971,0.04905285009925792,Catharanthus
13764.0,1164.73923766613,1.0,677,0.1274961632049753,Catharanthus
12469.0,1583.0966628789902,1.0,948,0.06252110168536505,Catharanthus
10127.0,1656.978912472725,1.0,946,0.046350744166293686,Catharanthus
9710.5,1865.4124590158463,0.984375,1148,0.035067250076726245,Catharanthus
7123.0,1159.5920494794846,1.0841121495327102,716,0.06656751583978975,Catharanthus
10835.5,1246.8397426605225,1.0,628,0.08758657557804798,Catharanthus
13122.5,984.0458054542542,1.0,539,0.17029261577410018,Catharanthus
11285.5,1061.9869298934937,1.0078740157480315,549,0.12574546333968611,Catharanthus
